,CBS_Class,CBS_MY_Order,CBS_MY_Rate,CBS_XS_MY,CBS_DXPZ,CBS_XSCS,CBS_CRTAX,Book_Class,CBS_BK_Average_price,CBS_BK_MY_Order,CBS_BK_MY_Rate,CBS_BK_XS_MY,CBS_BK_DXPZ,CBS_BK_XSCS,FXS_Class,User_Area,User_Get_Price,FXS_Discount,FXS_BK_MY_Order,FXS_BK_MY_Rate,FXS_BK_MY,FXS_BK_DXPZ,FXS_BK_XSCS,FXS_BK_Average_Price
0,1,11,1.0934,90678033.8,2921,2357742,0.07,1,34.83,3,2.9369,49754771.5,1989,1428330,3,2,9.0,0.585,2,3.4196,15289978.1,1579,426206,35.87
1,1,11,1.0934,90678033.8,2921,2357742,0.07,6,17.75,515,0.0,284.0,2,16,3,2,9.0,0.585,484,0.0,36.0,1,2,18.0
2,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,3,2,9.0,0.585,235,0.0099,15346.0,7,478,32.1
3,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,3,2,9.0,0.585,3,3.1915,10890168.2,405,232732,46.79
4,1,11,1.0934,90678033.8,2921,2357742,0.08,7,60.7,191,0.0247,209492.8,24,3451,3,2,9.0,0.585,181,0.024,59391.0,21,1022,58.11
5,1,11,1.0934,90678033.8,2921,2357742,0.07,2,25.73,87,0.2087,2502441.2,206,97266,3,2,9.0,0.585,57,0.3445,721494.0,159,27129,26.59
6,1,11,1.0934,90678033.8,2921,2357742,0.07,4,37.07,45,0.6152,3343565.7,205,90184,3,2,9.0,0.585,38,0.6990000000000001,932224.7,183,24269,38.41
7,1,11,1.0934,90678033.8,2921,2357742,0.07,1,34.83,3,2.9369,49754771.5,1989,1428330,4,3,9.0,0.585,4,3.1758,10147126.4,1526,292059,34.74
8,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,4,3,9.0,0.585,227,0.0115,13904.0,6,430,32.33
9,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,4,3,9.0,0.585,3,2.633,7007355.2,409,147151,47.62
10,1,11,1.0934,90678033.8,2921,2357742,0.08,7,60.7,191,0.0247,209492.8,24,3451,4,3,9.0,0.585,158,0.0269,45721.8,18,711,64.31
11,1,11,1.0934,90678033.8,2921,2357742,0.07,2,25.73,87,0.2087,2502441.2,206,97266,4,3,9.0,0.585,69,0.284,610489.8,160,23964,25.48
12,1,11,1.0934,90678033.8,2921,2357742,0.07,4,37.07,45,0.6152,3343565.7,205,90184,4,3,9.0,0.585,38,0.6967,716632.5,185,20382,35.16
13,1,11,1.0934,90678033.8,2921,2357742,0.07,1,34.83,3,2.9369,49754771.5,1989,1428330,2,1,9.0,0.585,4,2.4117,7223501.9,1530,211126,34.21
14,1,11,1.0934,90678033.8,2921,2357742,0.07,6,17.75,515,0.0,284.0,2,16,2,1,9.0,0.585,505,0.0,32.0,2,2,16.0
15,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,2,1,9.0,0.585,285,0.0058,8500.0,4,253,33.6
16,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,2,1,9.0,0.585,6,2.0086,5076638.2,421,105140,48.28
17,1,11,1.0934,90678033.8,2921,2357742,0.08,7,60.7,191,0.0247,209492.8,24,3451,2,1,9.0,0.585,193,0.0217,35267.0,14,621,56.79
18,1,11,1.0934,90678033.8,2921,2357742,0.07,2,25.73,87,0.2087,2502441.2,206,97266,2,1,9.0,0.585,88,0.174,412294.0,188,16729,24.65
19,1,11,1.0934,90678033.8,2921,2357742,0.07,4,37.07,45,0.6152,3343565.7,205,90184,2,1,9.0,0.585,51,0.5065,462567.9,180,13205,35.03
20,1,11,1.0934,90678033.8,2921,2357742,0.07,8,28.0,126,0.0004,56.0,1,2,2,1,9.0,0.585,88,0.0012,28.0,1,1,28.0
21,1,11,1.0934,90678033.8,2921,2357742,0.07,1,34.83,3,2.9369,49754771.5,1989,1428330,1,1,9.0,0.585,4,2.5437,12265750.9,1698,355935,34.46
22,1,11,1.0934,90678033.8,2921,2357742,0.07,6,17.75,515,0.0,284.0,2,16,1,1,9.0,0.585,505,0.0,126.0,1,7,18.0
23,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,1,1,9.0,0.585,246,0.009000000000000001,17126.0,3,525,32.62
24,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,1,1,9.0,0.585,4,2.2358,8662637.2,424,181831,47.64
25,1,11,1.0934,90678033.8,2921,2357742,0.08,7,60.7,191,0.0247,209492.8,24,3451,1,1,9.0,0.585,187,0.0282,54611.0,16,775,70.47
26,1,11,1.0934,90678033.8,2921,2357742,0.07,2,25.73,87,0.2087,2502441.2,206,97266,1,1,9.0,0.585,116,0.1084,467693.2,193,18244,25.64
27,1,11,1.0934,90678033.8,2921,2357742,0.07,4,37.07,45,0.6152,3343565.7,205,90184,1,1,9.0,0.585,50,0.5194,887360.9,184,22199,39.97
28,1,11,1.0934,90678033.8,2921,2357742,0.07,8,28.0,126,0.0004,56.0,1,2,1,1,9.0,0.585,103,0.0008,28.0,1,1,28.0
29,1,11,1.0934,90678033.8,2921,2357742,0.07,1,34.83,3,2.9369,49754771.5,1989,1428330,5,4,9.0,0.585,3,2.8299,509569.6,948,14733,34.59
30,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,5,4,9.0,0.585,213,0.0026,600.0,2,19,31.58
31,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,5,4,9.0,0.585,3,3.4064,420438.2,233,8492,49.51
